"sample_id"	"error_autoencoder"	"error_defaultpredictor"	"better_than_default"
"11116.A21C061.1194100"	"51.5390042129071"	"66.9581633864274"	"1"
"11116.L25A084.1195344"	"63.8823177720969"	"68.6170899398169"	"1"
"11116.L30A082.1197831"	"64.2878815222543"	"86.4339198509709"	"1"
"11116.L30A099.1197692"	"78.4705107579803"	"95.5421812398833"	"1"
"11116.I20A074.1195932"	"70.223068644201"	"76.5235549850307"	"1"
"11116.L04A074.1196874"	"55.8039741141632"	"70.3986447392435"	"1"
"11116.A11D061.1193619"	"58.5758022249238"	"69.4462633093463"	"1"
"11116.A01B067.1195047"	"61.4043621615209"	"65.5339383359332"	"1"
"11116.A04C067.1194940"	"56.1849480773534"	"58.505920564326"	"1"
"11116.A09C067.1196948"	"55.231790515794"	"67.3152829295234"	"1"
"11116.L28A094.1196985"	"57.5028966629281"	"56.3915318069146"	"0"
"11116.L08A065.1197930"	"50.2962355741917"	"61.5665292665265"	"1"
"11116.I10A092.1195452"	"57.9252689926396"	"60.4351009163971"	"1"
"11116.A29D067.1196187"	"56.3376078078827"	"66.414712705413"	"1"
"11116.A08C118.1194327"	"69.0025754055895"	"73.642621295716"	"1"
"11116.L07A061.1195436"	"46.0368394634286"	"70.9135098003834"	"1"
"11116.A01A088.1194315"	"82.9468404239406"	"89.474310855633"	"1"
"11116.I04A100.1193982"	"74.5164703043916"	"94.9270779783491"	"1"
"11116.I26A101.1196839"	"77.419646678467"	"93.6213655663072"	"1"
"11116.I19A080.1197785"	"59.2211090544157"	"63.8276328976464"	"1"
"11116.L02A071.1196752"	"53.6899454852397"	"67.9118499712216"	"1"
"11116.A13D094.1194300"	"90.8287716627289"	"97.7978775462072"	"1"
"11116.L16A079.1196662"	"56.8861536919017"	"59.686076852344"	"1"
"11116.A25B070.1198037"	"62.3131488078399"	"65.453746694735"	"1"
"11116.A27D073.1194852"	"53.6733261726676"	"60.3793559373875"	"1"
"11116.L07A083.1198223"	"72.3244129388696"	"69.413038554255"	"0"
"11116.A24B091.1195509"	"94.3606369192354"	"98.4450775730111"	"1"
"11116.L09A079.1194491"	"61.5544564463147"	"64.3019194549828"	"1"
"11116.I13A095.1196466"	"80.8043392433403"	"96.2999710975673"	"1"
"11116.I13A094.1194043"	"78.953879000519"	"95.7042412350752"	"1"
"11116.A22A079.1195927"	"68.35541936529"	"75.0107935996195"	"1"
"11116.I22A088.1197908"	"59.8731787439735"	"84.5937625281135"	"1"
"11116.L16A099.1195764"	"57.320395650996"	"61.1244322732601"	"1"
"11116.I22A075.1194899"	"62.1329479000083"	"67.8779589928379"	"1"
"11116.A18B073.1195152"	"73.0414410445851"	"75.7054993935792"	"1"
"11116.I12A071.1195462"	"50.5307693244687"	"56.6374700171665"	"1"
"11116.L26A083.1197530"	"80.7471698841761"	"93.2651088031853"	"1"
"11116.I26A095.1194948"	"98.7553445795512"	"98.2131467405388"	"0"
"11116.A11C082.1195394"	"75.7573078353178"	"94.7361054880056"	"1"
"11116.L23A081.1196653"	"53.1786247573938"	"50.4993457958645"	"0"
"11116.L08A087.1193860"	"57.4491818496825"	"59.4865852657084"	"1"
"11116.I25A070.1196024"	"44.7391657080113"	"64.3358626358453"	"1"
"11116.I32A083.1195386"	"85.1051440243749"	"95.9148674100139"	"1"
"11116.A08C091.1193721"	"56.0496828969754"	"88.9018003601927"	"1"
"11116.L02A102.1194121"	"78.5329746546395"	"92.2432709346015"	"1"
"11116.A12D091.1194575"	"99.8600334416637"	"99.3332911456862"	"0"
"11116.I16A085.1198121"	"54.9577414235542"	"64.6786400758422"	"1"
