"otu_id"	"error_autoencoder"	"error_defaultpredictor"	"better_than_default"
"254007"	"89.2510525706478"	"94.0048359984976"	"1"
"731014"	"48.6715407044315"	"65.0915351247536"	"1"
"1106796"	"41.5812114411313"	"66.6470149073718"	"1"
"552989"	"51.9633113412466"	"70.9477931557148"	"1"
"206609"	"42.4258993537026"	"68.0236438959459"	"1"
"813418"	"81.6652185795349"	"84.169750463401"	"1"
"828667"	"69.7957323642151"	"74.9523052879415"	"1"
"217700"	"43.6027488062976"	"58.6189266115701"	"1"
"576136"	"40.2955082856775"	"64.3598711499736"	"1"
"534301"	"55.5893680087131"	"71.426606824958"	"1"
"535892"	"98.1829049557017"	"99.6537967211619"	"1"
"852722"	"85.8037190210126"	"90.2222528936886"	"1"
"807260"	"43.6598625116395"	"61.2981215459208"	"1"
"849156"	"66.9384737968966"	"80.9771714910974"	"1"
"207403"	"46.4328813354402"	"65.9983524017906"	"1"
"963779"	"68.7931082738804"	"71.6370716168188"	"1"
"540510"	"94.8486153776074"	"95.6303560511485"	"1"
"4297391"	"97.070525367073"	"98.8677438476581"	"1"
"565604"	"49.4365736980187"	"64.1537609350342"	"1"
"864507"	"98.7849532147434"	"99.8779297713305"	"1"
"547608"	"57.2782609389592"	"70.3574882251629"	"1"
"780555"	"80.7369064726814"	"82.63459172823"	"1"
"541299"	"64.0876518842183"	"69.2771279789551"	"1"
"1105280"	"90.0832419368081"	"91.1285508087936"	"1"
"586388"	"42.8449400185253"	"54.8490804778198"	"1"
"4477117"	"46.5293785225163"	"63.9083437663249"	"1"
"808319"	"99.1251337532877"	"99.9213647855978"	"1"
"3468909"	"51.0492384659753"	"68.1237050132043"	"1"
"221349"	"39.6998350058244"	"65.0134646745394"	"1"
"816291"	"38.1386010383321"	"64.0306995890174"	"1"
"331647"	"56.3963788381974"	"73.2460057773756"	"1"
"4434837"	"68.1970520488682"	"75.3362431278101"	"1"
"876066"	"43.5587562688338"	"64.4532043988081"	"1"
"976441"	"83.2931398776976"	"82.9298719687291"	"0"
"573135"	"31.2686977480942"	"58.273370635417"	"1"
"247867"	"49.428840940835"	"67.3103675245552"	"1"
"1107011"	"98.34853046572"	"99.7845053260955"	"1"
"959372"	"40.0195746967039"	"63.3450571233259"	"1"
"810882"	"56.9095957488914"	"69.8831769591117"	"1"
"906820"	"39.8762117237683"	"61.6060960419563"	"1"
"1068902"	"51.2248564933857"	"59.5366278946847"	"1"
"854930"	"52.9821726610726"	"62.0033682425254"	"1"
"205244"	"97.4311714252289"	"98.9974637779668"	"1"
"944435"	"44.9514321314531"	"62.1415350461594"	"1"
"822806"	"47.2551146209829"	"62.7422314756167"	"1"
"17991"	"68.296080898218"	"71.3712552740774"	"1"
"250148"	"99.9305319498317"	"99.999774057156"	"1"
"878714"	"99.8587914418175"	"99.9986249557182"	"1"
"562332"	"54.5712896562887"	"65.5592473498216"	"1"
"3609950"	"36.8743588702592"	"65.4187154813999"	"1"
