"sample_id"	"error_autoencoder"	"error_defaultpredictor"	"better_than_default"
"11116.A11D061.1193619"	"0.00138414504933092"	"0.00701546963725619"	"1"
"11116.A01B067.1195047"	"0.000797787803200663"	"0.00277298219907277"	"1"
"11116.A04C067.1194940"	"0.00150309877647758"	"0.00392951256161338"	"1"
"11116.A09C067.1196948"	"0.00241526906122214"	"0.00954656578264896"	"1"
"11116.L28A094.1196985"	"0.00161785955894979"	"0.00288048964183341"	"1"
"11116.L08A065.1197930"	"0.000438056381720687"	"0.00374919020990281"	"1"
"11116.I10A092.1195452"	"0.00205132185795481"	"0.00459811869203763"	"1"
"11116.A29D067.1196187"	"0.00214463495430834"	"0.00617794805563714"	"1"
"11116.A08C118.1194327"	"0.00155762128552468"	"0.00397025002447867"	"1"
"11116.L07A061.1195436"	"0.000958383021053178"	"0.00964407263885627"	"1"
"11116.A01A088.1194315"	"0.000205338379874948"	"0.00105340167393699"	"1"
"11116.I04A100.1193982"	"8.24394210805987e-06"	"0.00089599896172574"	"1"
"11116.I26A101.1196839"	"1.16206005701388e-05"	"0.000922227836557423"	"1"
"11116.I19A080.1197785"	"0.00237715357238646"	"0.0048838978162192"	"1"
"11116.L02A071.1196752"	"0.00123684410634891"	"0.00635580926142162"	"1"
"11116.A13D094.1194300"	"5.76351036899178e-06"	"0.000974894251651108"	"1"
"11116.L16A079.1196662"	"0.000676555459072525"	"0.00351127143144222"	"1"
"11116.A25B070.1198037"	"0.00114408884784545"	"0.00345352981587384"	"1"
"11116.A27D073.1194852"	"0.00156894289743287"	"0.00610444856025545"	"1"
"11116.L07A083.1198223"	"0.00314756911693429"	"0.00592400918810596"	"1"
"11116.A24B091.1195509"	"6.45933001991854e-06"	"0.00098444951178666"	"1"
"11116.L09A079.1194491"	"0.000706745018325164"	"0.0038879617357318"	"1"
"11116.I13A095.1196466"	"4.35824284165897e-06"	"0.000969407905403891"	"1"
"11116.I13A094.1194043"	"4.67526404053166e-06"	"0.000939035885898815"	"1"
"11116.A22A079.1195927"	"0.00134062728765933"	"0.00207630327271861"	"1"
"11116.I22A088.1197908"	"1.75701974402828e-05"	"0.000857369105585136"	"1"
"11116.L16A099.1195764"	"0.000268384428903926"	"0.000837039353637153"	"1"
"11116.I22A075.1194899"	"0.00288906433086022"	"0.00734234545616232"	"1"
"11116.A18B073.1195152"	"0.00220962722044618"	"0.00560642291974029"	"1"
"11116.I12A071.1195462"	"0.000711583369603393"	"0.00217870555788043"	"1"
"11116.L26A083.1197530"	"4.66893251751275e-05"	"0.000859378436975871"	"1"
"11116.I26A095.1194948"	"0.00437797025988654"	"0.00550883082991123"	"1"
"11116.A11C082.1195394"	"3.02795044674139e-06"	"0.000999698279732555"	"1"
"11116.L23A081.1196653"	"0.000788011959053651"	"0.00238159211171476"	"1"
"11116.L08A087.1193860"	"0.00231665368525657"	"0.00302589377531156"	"1"
"11116.I25A070.1196024"	"0.0011756967108016"	"0.0109984702326165"	"1"
"11116.I32A083.1195386"	"5.60828497768432e-06"	"0.000963838611837326"	"1"
"11116.A08C091.1193721"	"5.01771453476211e-06"	"0.00134126719689048"	"1"
"11116.L02A102.1194121"	"2.54225842796869e-05"	"0.00130706178828761"	"1"
"11116.A12D091.1194575"	"0.000830784941910549"	"0.00165179857016048"	"1"
"11116.I16A085.1198121"	"0.00141123434456356"	"0.00465222719392507"	"1"
"11116.A13D088.1195168"	"1.19449507334796e-05"	"0.0013321621810575"	"1"
"11116.L01A068.1196902"	"6.33039364324436e-05"	"0.00204680718632212"	"1"
"11116.C23A66.1195195"	"0.00555046591770874"	"0.0110659153792476"	"1"
"11116.A13B061.1197762"	"0.00133107063873847"	"0.0103151978320283"	"1"
"11116.I02A075.1193825"	"0.00306971926661517"	"0.00539553711397183"	"1"
"11116.L09A071.1197632"	"0.000692734671965601"	"0.00227128175167474"	"1"
"11116.L20A076.1195804"	"0.00127063454601269"	"0.00317426157645094"	"1"
"11116.L12A091.1196946"	"9.19333157533297e-06"	"0.000966148101235287"	"1"
"11116.I14A082.1196637"	"5.95057996666924e-06"	"0.000980517164117648"	"1"
"11116.L11A085.1196723"	"5.14894571593774e-06"	"0.000951481709195433"	"1"
"11116.L11A073.1196605"	"5.20775477794447e-05"	"0.00200793836793443"	"1"
"11116.C02A66.1194587"	"0.00398413602328748"	"0.00861789708293314"	"1"
"11116.A22A064.1194432"	"0.000425473662236317"	"0.00512908826813071"	"1"
"11116.L21A092.1194827"	"6.53282254790057e-06"	"0.0009727885984341"	"1"
"11116.L05A100.1195100"	"3.00969165603654e-05"	"0.000740642795775082"	"1"
"11116.A30C100.1194814"	"7.12360609032314e-05"	"0.00135726564896776"	"1"
"11116.I12A064.1195118"	"0.000383658224658128"	"0.00450334868252874"	"1"
"11116.A21D094.1196499"	"1.31651672722048e-05"	"0.00132841158262315"	"1"
"11116.A11C067.1195204"	"9.1580369595904e-05"	"0.000555712361850334"	"1"
"11116.L10A085.1195955"	"0.000581395914075264"	"0.0010426809004752"	"1"
"11116.A08A067.1194627"	"0.000921445363035764"	"0.00450195061982665"	"1"
"11116.I03A086.1197424"	"0.000658354874733674"	"0.0040592308011031"	"1"
"11116.A10B100.1194097"	"2.65021368650089e-05"	"0.000943178750165071"	"1"
"11116.I29A069.1196030"	"0.00128337830916224"	"0.00210469737838203"	"1"
"11116.A17A064.1197512"	"0.000833611325262293"	"0.00491532290270296"	"1"
"11116.I06A100.1196458"	"7.74524966430203e-06"	"0.000934529085876581"	"1"
"11116.L26A097.1197857"	"3.0351224645184e-06"	"0.000885639375085134"	"1"
"11116.L11A099.1195801"	"6.71191607808784e-06"	"0.000945585104418136"	"1"
"11116.L25A099.1196313"	"3.93359388046523e-05"	"0.000717716941255688"	"1"
"11116.L26A063.1197356"	"0.000441101159320449"	"0.00755262840269622"	"1"
"11116.I02A074.1197086"	"0.00286833481368249"	"0.0044276829143119"	"1"
"11116.L10A118.1195848"	"0.000450510125975134"	"0.00207494293087169"	"1"
"11116.L03A099.1196429"	"0.000186794822682728"	"0.000682105217106879"	"1"
"11116.L04A090.1195693"	"2.61014125914287e-06"	"0.000866723580368473"	"1"
"11116.I08A068.1195051"	"0.000659235471454409"	"0.0046300988576154"	"1"
"11116.I32A076.1197330"	"0.00354442735472526"	"0.00336035748474408"	"0"
"11116.U455A63.1195546"	"0.000265187028892145"	"0.00354980263333169"	"1"
"11116.A13B118.1196179"	"9.50151678899775e-05"	"0.000865306903841698"	"1"
"11116.A32A070.1197704"	"0.000490177990051275"	"0.00496017688900531"	"1"
"11116.I28A089.1196330"	"5.12830173588543e-06"	"0.00092296610313882"	"1"
"11116.U533A63.1194455"	"0.000129089331172614"	"0.00165343001865615"	"1"
