"Model"	"train_mse"	"test_mse"	"n_iter"	"train_smape"	"test_smape"
"20-3-100"	0.00280238504721	0.0028846524071	10000	76.7902037794142	76.6900128442659
"50-3-100"	0.00280237516078	0.00288465129277	10000	76.7903552830418	76.6901721909874
"100-3-100"	0.00280237543086	0.00288465145629	10000	76.7904427647218	76.6902656175359
"10-4-10"	0.00280189521393	0.00288458472811	10000	76.8552647978726	76.7608732590604
"20-4-10"	0.0028018951049	0.00288458486672	10000	76.8551261935143	76.7607245650295
"50-4-10"	0.00280189495875	0.00288458479742	10000	76.8550227076304	76.7606128781305
"100-4-10"	0.00280189498354	0.00288458479742	10000	76.8550142183898	76.7606036921303
"10-4-20"	0.00280201926025	0.00288459786517	10000	76.8548151647296	76.7606162244833
"20-4-20"	0.00280201786313	0.00288459790957	10000	76.8539408599051	76.7596703751736
"50-4-20"	0.00280201667161	0.00288459781536	10000	76.8532951233435	76.7589651805439
"100-4-20"	0.00280201602757	0.00288459806768	10000	76.8528206060042	76.7584512657098
"10-4-50"	0.00280224597526	0.00288463183246	10000	76.81360522514	76.7156458112015
"20-4-50"	0.00280224035698	0.00288463148592	10000	76.8135738537025	76.7156068143751
"50-4-50"	0.00280223250426	0.00288463095095	10000	76.8135435370552	76.7155566237845
"100-4-50"	0.0028022298834	0.00288463088164	10000	76.8133990759712	76.7153938798838
"10-4-100"	0.00280237920613	0.00288465552703	10000	76.7867509570399	76.6863577263138
"20-4-100"	0.00280237754394	0.0028846561638	10000	76.787290268135	76.686931980682
"50-4-100"	0.00280237127417	0.00288465552054	10000	76.7875384666217	76.6871978677538
"100-4-100"	0.00280236652546	0.00288465503538	10000	76.7876977453808	76.6873693553491
"10-5-10"	0.00079303027618	0.000913185402101	3584	67.9994630066453	68.0716081149207
"20-5-10"	0.00280189599423	0.00288458487539	10000	76.8560016221699	76.7616730945398
"50-5-10"	0.00280189590253	0.00288458452019	10000	76.8558786848588	76.7615398580151
"100-5-10"	0.00280189581585	0.0028845846144	10000	76.8558399523473	76.7614973283116
"10-5-20"	0.0028020244153	0.00288459803411	10000	76.8569905542046	76.7629619527212
"20-5-20"	0.00280202239892	0.00288459821712	10000	76.8553980875881	76.76125118666
"50-5-20"	0.00280202170531	0.00288459844454	10000	76.8548116790265	76.7606245458158
"100-5-20"	0.0028020211405	0.00288459858316	10000	76.8544495549295	76.7602333034062
"10-5-50"	0.00280225284938	0.00288463482135	10000	76.8105181158654	76.7122583707699
"20-5-50"	0.00280224801154	0.00288463430263	10000	76.81151350451	76.7133672642656
"50-5-50"	0.00280224073609	0.0028846340698	10000	76.8110152150839	76.7128173088708
"100-5-50"	0.00280223915816	0.0028846349513	10000	76.8105629179456	76.7123104425382
"10-5-100"	0.000646128725913	0.000852228785313	2710	66.9787180497828	67.0387099685886
"20-5-100"	0.00280236925536	0.00288465959345	10000	76.7856295183987	76.685225944954
"50-5-100"	0.0028023640013	0.00288465916352	10000	76.7860454810131	76.6856735091594
"100-5-100"	0.00280236256205	0.00288465902491	10000	76.7861928356973	76.6858330380118
"10-6-10"	0.00280189671006	0.00288458443138	10000	76.8566090761525	76.7623331870453
"20-6-10"	0.00280189646734	0.00288458450069	10000	76.8564536757922	76.7621644504369
"50-6-10"	0.00280189643267	0.00288458454509	10000	76.8563654399109	76.7620695247091
"100-6-10"	0.00280189639799	0.00288458450069	10000	76.8563452026904	76.7620474805021
"10-6-20"	0.00280202807408	0.00288459785109	10000	76.8584558388696	76.7645485206544
"20-6-20"	0.00280202666708	0.00288459833625	10000	76.8574161296694	76.7634299404735
"50-6-20"	0.00280202542355	0.00288459842505	10000	76.856221495524	76.7621472280575
"100-6-20"	0.00280202464569	0.00288459870228	10000	76.8553442528728	76.7612017078743
"10-6-50"	0.000623257448749	0.000730052371347	1617	66.5769282197323	66.6173088489375
"20-6-50"	0.0028022547891	0.00288463705003	10000	76.8095042661921	76.7111890283236
"50-6-50"	0.00280224470207	0.0028846376099	10000	76.8088216486112	76.7104340050493
"100-6-50"	0.00280224248253	0.00288463744638	10000	76.808797359522	76.7104046723266
"10-6-100"	0.000568526296086	0.000733311241222	1488	66.6575769084281	66.6506445775123
"20-6-100"	0.00280236859154	0.00288466321694	10000	76.7848760192415	76.6845040781653
"50-6-100"	0.00280236458344	0.00288466315846	10000	76.7851698680914	76.6848211089602
"100-6-100"	0.00280235993116	0.00288466209394	10000	76.7857320711303	76.6854343202879
