X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
11116.I03A085.1193647	120.16	9	71.2	0.03	Ky21	Non_Stiff_Stalk
11116.I32A103.1195945	120.16	15	74.5	0.01	CML103	Tropical
11116.A33A097.1194224	125.86	13	68.3	0.07	CML228	Tropical
11116.L32A076.1196174	260.1	6	66.8	0.85	M37W	Mixed
11116.L14A082.1197190	260.1	8	73.2	0.09	Tzi8	Tropical
11116.L19A118.1197800	260.1	20	49.4	0.63	CML69	Tropical
11116.A30C118.1195199	125.86	20	49.4	0.63	Tzi8	Tropical
11116.A29C091.1195774	125.86	11	76.2	0.21	CML322	Tropical
11116.L19A094.1196106	260.1	12	76.0	0.14	CML69	Tropical
11116.I29A077.1197259	120.16	6	66.8	0.85	CML322	Tropical
11116.L18A071.1194688	260.1	4	64.8	0.4	Hp301	Popcorn
11116.L07A082.1196478	260.1	8	73.2	0.09	CML52	Tropical
11116.A18A076.1197394	125.86	6	66.8	0.85	B97	Non_Stiff_Stalk
11116.L13A088.1194159	260.1	10	69.5	0.12	B97	Non_Stiff_Stalk
11116.I10A101.1197188	120.16	14	64.1	3.31	M162W	Non_Stiff_Stalk
11116.I02A120.1195651	120.16	20	49.4	0.63	Ki3	Tropical
11116.A04D091.1195890	125.86	11	76.2	0.21	MS71	Non_Stiff_Stalk
11116.L16A102.1197559	260.1	14	64.1	3.31	CML103	Tropical
11116.L20A089.1196367	260.1	10	69.5	0.12	NC358	Tropical
11116.I05A073.1195721	120.16	5	67.7	0.07	MS71	Non_Stiff_Stalk
11116.I20A076.1194055	120.16	6	66.8	0.85	Hp301	Popcorn
11116.L13A099.1195830	260.1	13	68.3	0.07	B73	Stiff_Stalk
11116.L10A064.1196041	260.1	2	69.2	0.47	CML277	Tropical
11116.A32C070.1197745	125.86	4	64.8	0.4	CML103	Tropical
11116.C04A63.1195219	237.63	12	76.0	0.14	CML52	Tropical
11116.L30A104.1198312	260.1	15	74.5	0.01	CML247	Tropical
11116.I16A083.1194553	120.16	8	73.2	0.09	CML247	Tropical
11116.L13A101.1195535	260.1	14	64.1	3.31	B97	Non_Stiff_Stalk
11116.I05A102.1196011	120.16	14	64.1	3.31	MS71	Non_Stiff_Stalk
11116.L26A089.1196178	260.1	10	69.5	0.12	Tx303	Mixed
11116.A33C103.1195078	125.86	15	74.5	0.01	CML228	Tropical
11116.L13A119.1196444	260.1	20	49.4	0.63	B97	Non_Stiff_Stalk
11116.L07A069.1194873	260.1	3	54.5	0.91	CML52	Tropical
11116.I19A079.1197043	120.16	7	80.0	0.0	CML69	Tropical
11116.A17D103.1197812	125.86	15	74.5	0.01	Mo17	Non_Stiff_Stalk
11116.L11A069.1194228	260.1	3	54.5	0.91	NC350	Tropical
11116.I13A120.1195350	120.16	20	49.4	0.63	Mo18W	Mixed
11116.L11A086.1195419	260.1	9	71.2	0.03	CML103	Tropical
11116.A20C118.1193655	125.86	20	49.4	0.63	Hp301	Popcorn
11116.A12A097.1196311	125.86	13	68.3	0.07	B73	Stiff_Stalk
11116.A21A073.1196739	125.86	5	67.7	0.07	Tx303	Mixed
11116.A17B091.1194148	125.86	11	76.2	0.21	Mo17	Non_Stiff_Stalk
11116.I20A105.1195897	120.16	15	74.5	0.01	Hp301	Popcorn
11116.I32A073.1196155	120.16	5	67.7	0.07	CML103	Tropical
11116.L18A081.1198137	260.1	7	80.0	0.0	Hp301	Popcorn
11116.A21B085.1193945	125.86	9	71.2	0.03	B97	Non_Stiff_Stalk
11116.I29A075.1193749	120.16	5	67.7	0.07	CML322	Tropical
