	X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
130	11116.I25A085.1196092	0.4619761630142252	0.45	0.89	0.009063444108761328	0.038461538461538464	0.2
131	11116.L03A091.1196634	1.0	0.55	0.9525	0.0634441087613293	0.7307692307692307	0.4
132	11116.A08B091.1196978	0.48389081122645133	0.55	0.9525	0.0634441087613293	0.11538461538461539	0.2
133	11116.A08B067.1197781	0.48389081122645133	0.15	0.68125	0.27492447129909364	0.11538461538461539	0.2
134	11116.A14B073.1195558	0.48389081122645133	0.25	0.8462500000000001	0.021148036253776436	0.5384615384615384	0.4
135	11116.L13A099.1195830	1.0	0.65	0.85375	0.021148036253776436	0.5769230769230769	0.8
136	11116.U477A63.1197639	0.8557862360630526	0.6	0.95	0.04229607250755287	0.8076923076923077	0.4
137	11116.I04A098.1194647	0.4619761630142252	0.65	0.85375	0.021148036253776436	0.19230769230769232	0.0
138	11116.I18A099.1195841	0.4619761630142252	0.65	0.85375	0.021148036253776436	0.6923076923076923	0.0
139	11116.A30C118.1195199	0.48389081122645133	1.0	0.6174999999999999	0.1903323262839879	0.5384615384615384	0.4
140	11116.I27A083.1194701	0.4619761630142252	0.4	0.915	0.027190332326283987	0.46153846153846156	0.4
141	11116.I06A086.1197790	0.4619761630142252	0.45	0.89	0.009063444108761328	0.34615384615384615	0.0
142	11116.I07A081.1198376	0.4619761630142252	0.35	1.0	0.0	0.23076923076923078	0.4
143	11116.I12A102.1198027	0.4619761630142252	0.7	0.8012499999999999	1.0	0.5769230769230769	0.8
144	11116.I24A066.1196835	0.4619761630142252	0.1	0.865	0.14199395770392748	0.9615384615384616	0.6
145	11116.L08A076.1198333	1.0	0.3	0.835	0.25679758308157097	0.11538461538461539	0.2
146	11116.A21B097.1198404	0.48389081122645133	0.65	0.85375	0.021148036253776436	0.0	0.0
147	11116.I08A074.1196264	0.4619761630142252	0.25	0.8462500000000001	0.021148036253776436	0.8076923076923077	0.4
148	11116.L31A090.1196724	1.0	0.5	0.86875	0.036253776435045314	1.0	0.4
149	11116.A22D070.1193862	0.48389081122645133	0.2	0.8099999999999999	0.12084592145015106	0.5	0.4
150	11116.A33C103.1195078	0.48389081122645133	0.75	0.93125	0.0030211480362537764	0.46153846153846156	0.4
151	11116.A19D067.1196921	0.48389081122645133	0.15	0.68125	0.27492447129909364	0.4230769230769231	0.4
152	11116.A22D085.1194910	0.48389081122645133	0.45	0.89	0.009063444108761328	0.6538461538461539	0.4
153	11116.A12D082.1194724	0.48389081122645133	0.4	0.915	0.027190332326283987	0.5769230769230769	0.8
154	11116.I03A065.1194028	0.4619761630142252	0.1	0.865	0.14199395770392748	0.7692307692307693	0.0
155	11116.I10A067.1195667	0.4619761630142252	0.15	0.68125	0.27492447129909364	0.8461538461538461	0.0
156	11116.L18A090.1197076	1.0	0.5	0.86875	0.036253776435045314	0.8846153846153846	1.0
157	11116.I11A087.1197988	0.4619761630142252	0.45	0.89	0.009063444108761328	0.6153846153846154	0.4
