X.SampleID	1	2	3	4	5	6
11116.I01A075.1194975	0.00976959	-0.047527548	0.37971762	0.19747831	0.42773047	-0.23455161
11116.I26A074.1194972	0.14638445	-0.18827727	0.42030117	0.115321755	0.5458947	-0.13363844
11116.I24A099.1194482	0.013275289	-0.02723488	-0.40908208	-0.4385806	0.1754929	0.32249576
11116.L07A065.1196881	-0.2819232	-0.48660418	0.037495688	0.11922356	-0.06176812	-0.5038394
11116.A09C064.1193798	-0.60827565	0.49594313	-0.036895197	0.063141815	-0.2356762	-0.54669386
11116.A05A088.1196516	-0.104755215	0.0757335	-0.43135935	-0.6218586	-0.0151164215	0.39554992
11116.L30A100.1195675	0.0042896	-0.2996943	-0.46503943	-0.45541036	-0.020147936	0.38707125
11116.L25A066.1194296	-0.3012904	-0.49969104	0.16537063	0.055014472	-0.10257764	-0.5609758
11116.A14B073.1195558	-0.10450871	0.33595756	0.2986792	-0.35186422	0.014876127	0.1240167
11116.A12B085.1198210	0.057141032	0.09022751	-0.3652113	-0.60031295	0.034116425	0.40224245
11116.A02B073.1196026	0.08581517	0.4327595	0.27220365	-0.41758037	-0.12008846	0.2446226
11116.I27A068.1193675	0.26768	-0.49144486	0.10593077	0.1689568	0.31947795	-0.013088372
11116.I09A083.1196037	0.13633	-0.2195189	-0.14116101	-0.380637	0.39358655	0.1463664
11116.A29A082.1193821	0.037807174	0.057835627	-0.23431857	-0.6542576	0.027883776	0.40037334
11116.L06A065.1195531	-0.4355893	-0.618976	0.22717778	-0.18441536	-0.051863585	-0.48119846
11116.L29A086.1194563	-0.024059089	-0.28911355	-0.35769004	-0.5420642	0.11684787	0.27846727
11116.L22A068.1193738	-0.058468655	-0.44273424	0.09556108	-0.29653293	0.05098899	0.09791164
11116.I13A087.1193694	0.034802426	-0.27001584	-0.3075711	-0.41879153	0.39016736	0.2256215
11116.L25A079.1194278	0.30061865	-0.19157507	0.27901253	-0.48417833	0.0132482	0.06816353
11116.I23A090.1195576	-0.044320345	-0.22839768	-0.33181757	-0.4736783	0.29827568	0.27658042
11116.A06B070.1198022	0.0023583279	0.3505694	0.40175232	-0.477653	-0.10265272	0.2657841
11116.A29B079.1195428	0.19803588	0.3232287	0.21512787	-0.55001575	-0.017793417	0.21411422
11116.L18A101.1195895	-0.12370352	-0.20393474	-0.5096798	-0.43157843	0.029834826	0.5033301
11116.L28A102.1196533	0.26069987	-0.3329432	-0.39658523	-0.5344949	-0.05637675	0.4213002
11116.L07A070.1198122	0.30658513	-0.22108145	0.45068324	-0.3401804	0.014272193	0.14011313
