X.SampleID	1	2	3	4	5	6
11116.L02A104.1194752	0.11660474	-0.15105951	-0.414075	-0.34426403	0.08962897	0.11791027
11116.C24A66.1193605	0.10179378	-0.16348144	-0.4545177	-0.3061607	0.12337796	0.14723685
11116.A23A091.1194129	-0.009482769	-0.041775856	-0.4862108	-0.5396	0.07034458	0.5410728
11116.A23B070.1197945	-0.014024156	0.58998185	0.32359228	-0.52314895	-0.28386948	0.18661433
11116.I23A068.1196368	0.2161883	-0.51086164	0.13502778	0.11715053	0.32031083	0.0012192719
11116.I10A118.1196783	0.19838697	-0.22616714	-0.35002178	-0.44355828	0.041964833	0.4289122
11116.I30A085.1197727	0.0580656	-0.079690434	-0.2607853	-0.46384558	0.2620454	0.1344468
11116.A07B088.1194377	-0.024059134	-0.027002126	-0.49846765	-0.54246306	0.06103791	0.5413316
11116.L12A073.1198323	0.2505629	-0.27465612	0.4283196	-0.3794842	0.066879645	0.047485553
11116.A11C064.1194809	-0.58808357	0.46836913	0.0059924666	0.17514057	-0.21350174	-0.5746094
11116.L24A085.1195747	-0.052793026	-0.21123193	-0.42838165	-0.5028423	0.11046675	0.20898357
11116.A33B076.1195540	-0.09136932	0.5498321	0.3244343	-0.45155627	-0.08604739	0.01743134
11116.I25A101.1195039	0.0833971	-0.19593827	-0.36628994	-0.38909414	0.1638541	0.30866954
11116.I23A086.1197611	0.04851372	-0.03117729	-0.26682758	-0.5127085	0.21057549	0.19283001
11116.A09D070.1194025	0.022831807	0.37746623	0.29064947	-0.5220291	-0.22168489	0.27489164
11116.A08B067.1197781	-0.020677404	0.34990516	0.2454746	-0.4996813	-0.25072238	0.1800756
11116.I21A091.1197157	0.03533077	-0.119354025	-0.3288166	-0.40624288	0.28780252	0.13860212
11116.L19A077.1194622	-0.029166304	-0.25859147	0.38383135	-0.26615626	0.10537023	-0.09245339
11116.I21A067.1194676	0.122540236	-0.4768207	0.010430143	0.26536447	0.30839363	-0.26499802
11116.I12A094.1194780	-0.0010971869	-0.061797135	-0.38539326	-0.45373747	0.22306152	0.22831315
11116.A25A070.1197213	-0.026847122	0.55653816	0.34047714	-0.45630962	-0.18703346	0.12590091
11116.L02A100.1198181	0.09112193	-0.264454	-0.3896515	-0.4902375	-0.0017641241	0.45814922
11116.A25B076.1193837	-0.07634069	0.45821044	0.28385606	-0.47033235	-0.013446956	0.05214796
11116.I01A075.1194975	0.1799388	-0.13254537	0.39362445	0.22841749	0.4616978	-0.14364229
11116.I26A074.1194972	0.19235867	-0.1737481	0.37417474	0.1706727	0.47994125	-0.13477896
11116.I24A099.1194482	-0.007093921	-0.07975371	-0.41779295	-0.43199652	0.2240287	0.24841924
11116.L07A065.1196881	-0.53634024	-0.4593775	0.11496668	-0.040331133	0.0220501	-0.53227496
