"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"elevation"	"AGE"	"Temperature"	"Precipitation3Days"	"INBREDS"	"Maize_Line"	"def_mse"	"def_smape"
"11116.A12C103.1196971"	"2.78496600817227e-05"	"71.8605391352359"	"0.00012001449817724"	"80.2783835996231"	"-9.216484e-05"	" -8.417844464"	"similar"	"better"	"125.86"	"15"	"74.5"	"0.01"	"B73"	"Stiff_Stalk"	"0.00109768670536747"	"89.9805329454094"
"11116.A12D082.1194724"	"0.00548489282449304"	"84.2581231302395"	"0.00380453983803152"	"67.2732292052181"	" 1.680353e-03"	" 16.984893925"	"worse"	"worse"	"125.86"	"8"	"73.2"	"0.09"	"B73"	"Stiff_Stalk"	"0.00331044364463288"	"60.9388881867186"
"11116.A13A088.1197187"	"2.55482107316131e-05"	"55.5002468613243"	"0.000476104159318611"	"73.6996026390222"	"-4.505559e-04"	"-18.199355778"	"better"	"better"	"125.86"	"10"	"69.5"	"0.12"	"Mo18W"	"Mixed"	"0.000994691788390491"	"77.2773223008855"
"11116.A13B091.1194772"	"0.000127068453979825"	"98.4865542974581"	"0.000371914650806974"	"98.962060440042"	"-2.448462e-04"	" -0.475506143"	"better"	"similar"	"125.86"	"11"	"76.2"	"0.21"	"B97"	"Non_Stiff_Stalk"	"0.000987552082203586"	"96.2092119201481"
"11116.A14B073.1195558"	"0.00143698952851027"	"61.4910417687423"	"0.00159865954659949"	"68.1057619827532"	"-1.616700e-04"	" -6.614720214"	"better"	"better"	"125.86"	"5"	"67.7"	"0.07"	"Tzi8"	"Tropical"	"0.0019738662411802"	"59.9268334913471"
"11116.A14C097.1196350"	"0.000143489946145001"	"71.7207859472114"	"0.000365787086598289"	"83.6263263064713"	"-2.222971e-04"	"-11.905540359"	"better"	"better"	"125.86"	"13"	"68.3"	"0.07"	"M37W"	"Mixed"	"0.00124682608887782"	"89.189977027799"
"11116.A14D079.1198268"	"0.00172043884603802"	"66.847659488244"	"0.00326953491714751"	"68.4665246132929"	"-1.549096e-03"	" -1.618865125"	"better"	"better"	"125.86"	"7"	"80"	"0"	"Tzi8"	"Tropical"	"0.00371289847645566"	"64.5923529024872"
"11116.A15A073.1196300"	"0.00292212573314327"	"68.2581936298605"	"0.00430087107278633"	"67.617095863481"	"-1.378745e-03"	"  0.641097766"	"better"	"similar"	"125.86"	"5"	"67.7"	"0.07"	"Ki11"	"Tropical"	"0.00561492545407905"	"66.3243635886115"
"11116.A15C103.1197053"	"0.000889642744373438"	"69.7015948675743"	"0.000629067675385369"	"77.4881693368335"	" 2.605751e-04"	" -7.786574469"	"worse"	"better"	"125.86"	"15"	"74.5"	"0.01"	"Ki11"	"Tropical"	"0.00170196431366267"	"86.4965231038564"
"11116.A15D079.1195052"	"0.00330031947314765"	"69.301997089516"	"0.00443804570612745"	"70.4993141716888"	"-1.137726e-03"	" -1.197317082"	"better"	"better"	"125.86"	"7"	"80"	"0"	"Mo17"	"Non_Stiff_Stalk"	"0.0047101057382106"	"68.3048848809479"
"11116.A16A073.1194938"	"0.00201230505387744"	"59.7255626568562"	"0.00229049604936473"	"67.3461177758997"	"-2.781910e-04"	" -7.620555119"	"better"	"better"	"125.86"	"5"	"67.7"	"0.07"	"CML247"	"Tropical"	"0.00214002835931501"	"58.1908277968361"
"11116.A17B091.1194148"	"4.00362623852438e-05"	"92.7643046557844"	"0.000528742453328261"	"97.0016259994458"	"-4.887062e-04"	" -4.237321344"	"better"	"better"	"125.86"	"11"	"76.2"	"0.21"	"Mo17"	"Non_Stiff_Stalk"	"0.00128293539527169"	"95.0298073460547"
"11116.A18A076.1197394"	"0.00117299669089194"	"55.7644259362199"	"0.003913395688256"	"62.2141227853084"	"-2.740399e-03"	" -6.449696849"	"better"	"better"	"125.86"	"6"	"66.8"	"0.85"	"B97"	"Non_Stiff_Stalk"	"0.00497719193788158"	"59.6541260382895"
"11116.A18A079.1194658"	"0.00161732662940047"	"58.8599521872064"	"0.00270607597047859"	"66.4568342054904"	"-1.088749e-03"	" -7.596882018"	"better"	"better"	"125.86"	"7"	"80"	"0"	"B97"	"Non_Stiff_Stalk"	"0.00350162634014052"	"62.0302006077279"
"11116.A18A094.1198340"	"9.42693308809622e-05"	"96.6654815270454"	"0.000161635893357337"	"96.3575986335376"	"-6.736656e-05"	"  0.307882894"	"similar"	"similar"	"125.86"	"12"	"76"	"0.14"	"Hp301"	"Popcorn"	"0.000868209647757112"	"93.3061257386648"
"11116.A18C070.1194727"	"0.00162078428872487"	"64.7615606006719"	"0.00228059109503597"	"70.597199946446"	"-6.598068e-04"	" -5.835639346"	"better"	"better"	"125.86"	"4"	"64.8"	"0.4"	"B97"	"Non_Stiff_Stalk"	"0.00117897489205376"	"62.9691366276427"
"11116.A18C085.1196102"	"0.000588691150297886"	"65.0243999829097"	"0.000841423529505888"	"61.6333288812122"	"-2.527324e-04"	"  3.391071102"	"better"	"worse"	"125.86"	"9"	"71.2"	"0.03"	"CML69"	"Tropical"	"0.000978110759286413"	"60.0375657550515"
"11116.A18D091.1196873"	"0.000112278350141786"	"66.779660402022"	"0.000683209140584728"	"77.8883387158119"	"-5.709308e-04"	"-11.108678314"	"better"	"better"	"125.86"	"11"	"76.2"	"0.21"	"Hp301"	"Popcorn"	"0.00145119194212153"	"83.2605519572727"
"11116.A19D067.1196921"	"0.00447834797255891"	"67.4636127115541"	"0.00413751019541226"	"69.0808745706848"	" 3.408378e-04"	" -1.617261859"	"worse"	"better"	"125.86"	"3"	"54.5"	"0.91"	"CML69"	"Tropical"	"0.0047040297998175"	"66.107254583156"
