"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"Rank1"	"Rank2"	"Rank3"	"Rank4"	"Rank5"	"Rank6"	"Rank7"	"def_mse"	"def_smape"
"808919"	"0.000744737529927673"	"51.117794673693"	"0.000881359784166346"	"55.5187964538313"	-0.000136622254238673	-4.4010017801383	"better"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Polyangiaceae"	"g__Aetherobacter"	"s__fasciculatus"	"0.00114078856618568"	"63.1855118556777"
"809189"	"0.00117649494363947"	"50.7674090443425"	"0.00108663416826459"	"53.8895168050468"	8.98607753748802e-05	-3.1221077607043	"similar"	"better"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"	"0.00163343900995477"	"63.9106700399028"
"809485"	"0.0137900959890941"	"48.6381127142848"	"0.0293441471295457"	"60.7480842197925"	-0.0155540511404516	-12.1099715055077	"better"	"better"	"k__Bacteria"	"p__Bacteroidetes"	"c__Cytophagia"	"o__Cytophagales"	"f__Cytophagaceae"	"g__"	"s__"	"0.0382661503124663"	"68.4075438204055"
"810167"	"0.000125000938243666"	"89.9914859729838"	"0.000124592761371036"	"91.3545681992735"	4.08176872630013e-07	-1.36308222628971	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Comamonadaceae"	"g__Methylibium"	"s__"	"0.000124519947747596"	"91.3336325140172"
"810679"	"1.56386479007532e-07"	"100"	"1.90228853696133e-07"	"100"	-3.3842374688601e-08	0	"similar"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__"	"f__"	"g__"	"s__"	"0"	"0"
"810700"	"3.42945572326439e-05"	"54.9870565632717"	"4.13046446334779e-05"	"58.0141797302697"	-7.010087400834e-06	-3.027123166998	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__"	"s__"	"6.10786995275163e-05"	"63.8281039988788"
"810882"	"2.21436303972347e-05"	"58.916157080153"	"2.56563676140854e-05"	"62.8418981671913"	-3.5127372168507e-06	-3.9257410870383	"similar"	"better"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__mb2424"	"g__"	"s__"	"2.82523138880159e-05"	"66.2209510721151"
"810959"	"3.84264867732154e-06"	"85.5094885793783"	"4.04230689114378e-06"	"88.7766331424821"	-1.9965821382224e-07	-3.2671445631038	"similar"	"better"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Intrasporangiaceae"	"g__Knoellia"	"s__"	"3.98635404119613e-06"	"88.3015535280161"
"811187"	"7.10518799127408e-05"	"55.3349010079922"	"8.72500758881413e-05"	"58.7215540686869"	-1.61981959754005e-05	-3.3866530606947	"similar"	"better"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"	"0.000105998782611111"	"63.3104658794607"
"811263"	"6.42252026573043e-07"	"87.6789700178386"	"7.75094714876444e-07"	"91.7113965987634"	-1.32842688303401e-07	-4.03242658092481	"similar"	"better"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	"f__Gaiellaceae"	"g__"	"s__"	"6.87361087303325e-07"	"91.7881984632432"
